1.000000000000000000e+00 1.000000000000000000e+00 3.394112549695427816e+01 9.313356495837201332e-06 9.325132655993990900e-06 9.325132655993968877e-06 6.907645305581939653e-09
1.000000000000000000e+00 2.000000000000000000e+00 3.324154027718932269e+01 1.865026531198826301e-05 1.867373769762045363e-05 9.359030437031888957e-06 1.239084938820306432e-08
1.000000000000000000e+00 3.000000000000000000e+00 3.255764119219941222e+01 2.803141736990092165e-05 2.807198264812294902e-05 9.419973167816338364e-06 1.921519045904696932e-08
1.000000000000000000e+00 4.000000000000000000e+00 3.189043743820394994e+01 3.749021164762077034e-05 3.753426604662580044e-05 9.489036870420472484e-06 2.306827615696150540e-08
1.000000000000000000e+00 5.000000000000000000e+00 3.124099870362661591e+01 4.700949111074162267e-05 4.709282053143401970e-05 9.576069179215119051e-06 3.046948494836584313e-08
1.000000000000000000e+00 6.000000000000000000e+00 3.061045573002793319e+01 5.664235000605064252e-05 5.674430672615072175e-05 9.682510115729012033e-06 3.289216427895599458e-08
1.000000000000000000e+00 7.000000000000000000e+00 3.000000000000000000e+01 6.637451134219987713e-05 6.650117895171578342e-05 9.779514969207626105e-06 3.914516029915646829e-08
1.000000000000000000e+00 8.000000000000000000e+00 2.941088233970548416e+01 7.620137994446632163e-05 7.636593678268872496e-05 9.869666728791340674e-06 4.598727239242322504e-08
1.000000000000000000e+00 9.000000000000000000e+00 2.884441020371191300e+01 8.611384479978265334e-05 8.631889125988013002e-05 9.941611601126885403e-06 5.158046907464546331e-08
1.000000000000000000e+00 1.000000000000000000e+01 2.830194339616981125e+01 9.608460314672030928e-05 9.633568310121180432e-05 9.977208192785761147e-06 5.784110222661426265e-08
1.000000000000000000e+00 1.100000000000000000e+01 2.778488797889960793e+01 1.060682611853534031e-04 1.063845468122709490e-04 9.976472308709551909e-06 6.137045972357159243e-08
1.000000000000000000e+00 1.200000000000000000e+01 2.729468812791236232e+01 1.160375477641388710e-04 1.164170933497400408e-04 9.924284428142430973e-06 6.083842933443981511e-08
1.000000000000000000e+00 1.300000000000000000e+01 2.683281572999747766e+01 1.259168300416391053e-04 1.263702555611723741e-04 9.796181617029540306e-06 6.494402841982600209e-08
1.000000000000000000e+00 1.400000000000000000e+01 2.640075756488817049e+01 1.356299109981982769e-04 1.361604913103835147e-04 9.586624981565292558e-06 7.289072365605591113e-08
1.000000000000000000e+00 1.500000000000000000e+01 2.600000000000000000e+01 1.450900800047687147e-04 1.457010520721401447e-04 9.278858098362983736e-06 7.612298029660460701e-08
1.000000000000000000e+00 1.600000000000000000e+01 2.563201123595259290e+01 1.541876271949235938e-04 1.548889315782823680e-04 8.857203745999428588e-06 8.075994116986016328e-08
1.000000000000000000e+00 1.700000000000000000e+01 2.529822128134703618e+01 1.628044874967680326e-04 1.636040224206397544e-04 8.323118457436454393e-06 8.559953699850751489e-08
1.000000000000000000e+00 1.800000000000000000e+01 2.500000000000000000e+01 1.708338641097965839e-04 1.717235906692950870e-04 7.664797384555004480e-06 8.437723022770805478e-08
1.000000000000000000e+00 1.900000000000000000e+01 2.473863375370596174e+01 1.781340822658784482e-04 1.791180119134424024e-04 6.877832153617344387e-06 8.837257901328531614e-08
1.000000000000000000e+00 2.000000000000000000e+01 2.451530134426252516e+01 1.845895284170315708e-04 1.856565499723831451e-04 5.974736100741674574e-06 9.123558125586099174e-08
1.000000000000000000e+00 2.100000000000000000e+01 2.433105012119287736e+01 1.900835544673616618e-04 1.912208779515973294e-04 4.952915071757777463e-06 9.126626256761381350e-08
1.000000000000000000e+00 2.200000000000000000e+01 2.418677324489564739e+01 1.944953585605479389e-04 1.956994097893737915e-04 3.831920662840978663e-06 9.641653728195503058e-08
1.000000000000000000e+00 2.300000000000000000e+01 2.408318915758459156e+01 1.977473957930438089e-04 1.989971701872217565e-04 2.633954304058613773e-06 9.500414624671904042e-08
1.000000000000000000e+00 2.400000000000000000e+01 2.402082429892862692e+01 1.997632671686643804e-04 2.010436331954033970e-04 1.376436381606585503e-06 9.585772101821168900e-08
1.000000000000000000e+00 2.500000000000000000e+01 2.400000000000000000e+01 2.005002685562567901e-04 2.017984866143098768e-04 9.627001169582993095e-08 9.627001169592479864e-08
1.000000000000000000e+00 2.600000000000000000e+01 2.402082429892862692e+01 1.999558071920562300e-04 2.012370729606756392e-04 -1.184748878827149190e-06 9.392038206595813062e-08
1.000000000000000000e+00 2.700000000000000000e+01 2.408318915758459156e+01 1.981307707986030067e-04 1.993880685064482042e-04 -2.437113789628412761e-06 9.558447185443737053e-08
1.000000000000000000e+00 2.800000000000000000e+01 2.418677324489564739e+01 1.950815796127999466e-04 1.962853678134124944e-04 -3.630337724082306023e-06 9.468933039341478983e-08
1.000000000000000000e+00 2.900000000000000000e+01 2.433105012119287736e+01 1.908700953504380694e-04 1.920076356502523572e-04 -4.747658411461894157e-06 9.334145355374603298e-08
1.000000000000000000e+00 3.000000000000000000e+01 2.451530134426252516e+01 1.855862627898754807e-04 1.866498892256894689e-04 -5.761241739175716032e-06 9.439111531895402318e-08
1.000000000000000000e+00 3.100000000000000000e+01 2.473863375370596174e+01 1.793476118720867458e-04 1.803230937600632455e-04 -6.661417342027184559e-06 8.881489420153193277e-08
1.000000000000000000e+00 3.200000000000000000e+01 2.500000000000000000e+01 1.722634281058208947e-04 1.731516318210367020e-04 -7.438987536105711351e-06 8.778339251955659481e-08
1.000000000000000000e+00 3.300000000000000000e+01 2.529822128134703618e+01 1.644696367998744828e-04 1.652675439984507529e-04 -8.084094951229088772e-06 8.444616006715122223e-08
